//language id (do NOT change), language, african (1/1000),asian,east-indian,caucasian,hispanic,
0,U.S. (Modern),0,0,0,1000,0,
1,Hispanic,300,0,0,50,650,
2,Japanese,0,1000,0,0,0,
3,South Korean,0,1000,0,0,0,
4,Chinese,0,1000,0,0,0,
5,Portugese,100,0,0,200,700,
6,Dutch,0,0,0,1000,0,
7,German,0,0,0,1000,0,
8,French,0,0,0,1000,0,
9,Italian,0,0,0,1000,0,
10,Norwegian,0,0,0,1000,0,
11,Finnish,0,0,0,1000,0,
12,Swedish,0,0,0,1000,0,
13,Russian,0,0,0,1000,0,
14,Czech/Slavic,0,0,0,1000,0,
15,Polish,0,0,0,1000,0,
16,Scottish,0,0,0,1000,0,
17,Arabic,300,10,100,500,90,
18,Irish,0,0,0,1000,0,
19,African,1000,0,0,0,0,
20,UK,0,0,0,1000,0,
21,Albanian,0,0,0,1000,0,
22,Serbian,0,0,0,1000,0,
23,Greek,0,0,0,1000,0,
24,Turkish,0,0,0,1000,0,
25,Danish,0,0,0,1000,0,
26,Armenian,0,0,0,1000,0,
27,Indian,0,0,1000,0,0,
28,Australian,0,0,0,1000,0,
29,Azerbaijan,0,0,0,1000,0,
30,Polynesian,0,0,0,1000,0,
31,Austrian,0,0,0,1000,0,
32,Canadian,0,0,0,1000,0,
33,French Canadian,0,0,0,1000,0,
34,Filipino,0,0,0,1000,0,
35,Romanian,0,0,0,1000,0,
36,Indonesian,0,0,1000,0,0,
37,Pakistani,0,0,1000,0,0,
38,Vietnamese,0,1000,0,0,0,
39,U.S. (African-American),1000,0,0,0,0,
97,Okinawan,0,1000,0,0,0,
98,Yamatai,100,500,0,400,0,
99,Hoennese,30,500,20,380,70,

